year,catch_sum,expansion_factor,fib_index,mean_max_length,mean_trophic_level,catch_smoothed,mtl_smoothed,RMTI_1950
1950,685957.000,1.00,0.00,86.6,3.67,685957.000,3.670,3.670
1951,952016.000,1.45,0.37,88.4,3.69,818986.500,3.680,3.680
1952,1179525.000,1.97,0.68,90.3,3.73,939166.000,3.697,3.697
1953,1187444.000,1.93,0.66,91.0,3.72,1001235.500,3.703,3.703
1954,1429027.000,2.14,0.76,86.3,3.68,1086793.800,3.698,3.698
1955,1597043.000,2.61,0.96,85.0,3.72,1269011.000,3.708,3.708
1956,1892934.000,2.77,1.02,81.8,3.67,1457194.600,3.704,3.704
1957,1799672.000,2.94,1.08,82.4,3.72,1581224.000,3.702,3.702
1958,1820845.000,2.59,0.95,80.4,3.66,1707904.200,3.690,3.690
1959,1921576.000,2.94,1.08,78.8,3.69,1806414.000,3.692,3.692
1960,1851901.000,2.97,1.09,80.3,3.71,1857385.600,3.690,3.690
1961,1919603.000,2.86,1.05,75.1,3.68,1862719.400,3.692,3.692
1962,2013505.000,2.80,1.03,75.8,3.65,1905486.000,3.678,3.678
1963,2034144.000,3.03,1.11,73.1,3.68,1948145.800,3.682,3.682
1964,2007968.000,2.61,0.96,73.9,3.62,1965424.200,3.668,3.668
1965,2074610.000,2.89,1.06,75.5,3.65,2009966.000,3.656,3.656
1966,2054716.000,2.92,1.07,75.5,3.66,2036988.600,3.652,3.652
1967,2001634.000,2.77,1.02,77.7,3.65,2034614.400,3.652,3.652
1968,2194305.000,3.06,1.12,75.8,3.65,2066646.600,3.646,3.646
1969,2176652.000,2.97,1.09,76.4,3.64,2100383.400,3.650,3.650
1970,2043236.000,2.59,0.95,74.8,3.61,2094108.600,3.642,3.642
1971,2207310.000,2.94,1.08,76.1,3.63,2124627.400,3.636,3.636
1972,2412650.000,3.22,1.17,75.6,3.63,2206830.600,3.632,3.632
1973,2253348.000,3.29,1.19,82.0,3.67,2218639.200,3.636,3.636
1974,2480176.000,3.53,1.26,80.8,3.66,2279344.000,3.640,3.640
1975,2672509.000,3.03,1.11,74.0,3.56,2405198.600,3.630,3.630
1976,2761398.000,2.66,0.98,67.2,3.49,2516016.200,3.602,3.602
1977,2759990.000,2.36,0.86,64.5,3.44,2585484.200,3.564,3.564
1978,2695112.000,2.59,0.95,65.8,3.49,2673837.000,3.528,3.528
1979,2591775.000,3.46,1.24,71.8,3.63,2696156.800,3.522,3.522
1980,2585717.000,3.35,1.21,70.5,3.62,2678798.400,3.534,3.534
1981,2614247.000,3.49,1.25,74.4,3.63,2649368.200,3.562,3.562
1982,3024326.000,3.74,1.32,71.6,3.60,2702235.400,3.594,3.594
1983,3136387.000,3.03,1.11,66.4,3.49,2790490.400,3.594,3.594
1984,3329088.000,3.22,1.17,64.0,3.49,2937953.000,3.566,3.566
1985,3489245.000,2.92,1.07,61.6,3.43,3118658.600,3.528,3.528
1986,3847659.000,2.69,0.99,56.3,3.35,3365341.000,3.472,3.472
1987,4193978.000,2.86,1.05,54.0,3.34,3599271.400,3.420,3.420
1988,4558758.000,2.92,1.07,51.9,3.31,3883745.600,3.384,3.384
1989,4247442.000,3.49,1.25,56.0,3.42,4067416.400,3.370,3.370
1990,4837673.000,4.14,1.42,58.6,3.44,4337102.000,3.372,3.372
1991,5111042.000,5.05,1.62,60.6,3.50,4589778.600,3.402,3.402
1992,5723650.000,5.16,1.64,58.5,3.46,4895713.000,3.426,3.426
1993,5690981.000,4.66,1.54,55.9,3.42,5122157.600,3.448,3.448
1994,6960875.000,5.81,1.76,59.9,3.43,5664844.200,3.450,3.450
1995,7923048.000,6.82,1.92,61.6,3.44,6281919.200,3.450,3.450
1996,8960817.000,8.85,2.18,60.5,3.50,7051874.200,3.450,3.450
1997,9636586.000,7.69,2.04,56.4,3.41,7834461.400,3.440,3.440
1998,9389078.000,8.25,2.11,59.5,3.45,8574080.800,3.446,3.446
1999,8060170.000,7.10,1.96,61.4,3.45,8793939.800,3.450,3.450
2000,7873197.000,6.75,1.91,60.7,3.44,8783969.600,3.450,3.450
2001,8496964.000,7.10,1.96,60.9,3.43,8691199.000,3.436,3.436
2002,8385805.000,7.17,1.97,61.6,3.44,8441042.800,3.442,3.442
2003,8804418.000,8.08,2.09,60.2,3.47,8324110.800,3.446,3.446
2004,8847029.000,8.17,2.10,63.6,3.47,8481482.600,3.450,3.450
2005,8708967.000,7.85,2.06,61.1,3.46,8648636.600,3.454,3.454
2006,8690351.000,8.00,2.08,65.0,3.47,8687314.000,3.462,3.462
2007,8495102.000,8.00,2.08,64.4,3.48,8709173.400,3.470,3.470
2008,8604448.000,8.50,2.14,64.1,3.50,8669179.400,3.476,3.476
2009,8843068.000,8.50,2.14,63.7,3.49,8668387.200,3.480,3.480
2010,8999995.000,8.85,2.18,63.0,3.50,8726592.800,3.488,3.488
2011,9295930.000,8.94,2.19,62.0,3.49,8847708.600,3.492,3.492
2012,9460336.000,9.12,2.21,60.5,3.49,9040755.400,3.494,3.494
2013,9638472.000,9.12,2.21,60.1,3.48,9247560.200,3.490,3.490
2014,9188733.000,9.97,2.30,63.3,3.54,9316693.200,3.500,3.500
