year,H_dobt2,H_dobt2_se,H_dobt3,H_dobt3_se2,Fd_dobt,Fd_dobt_se,Fh_dobt,Fh_dobt_se,Ne_dobt,Ne_dobt_se,Ee_dobt,Ee_dobt_se1,Ee_dobt_se2,CPUE_nom,CPUE_nom_se,CPUE_eff,CPUE_eff_se
1950,11822.37075,1904.131769,11822.37075,1904.131769,302.1,0,1956.0975,0,1,0.161061754,1,0.161061754,0.161061754,1,0.161061754,1,0.161061754
1951,13664.0466,106.7634132,13971.48765,115.231133,302.1,0,1956.0975,0,1.155778895,0.186370695,1.18178392,0.190564036,0.190589585,1.311011603,0.21140215,1.282162937,0.206777988
1952,15877.97545,106.7634132,16600.52257,141.9348477,302.1,0,1956.0975,0,1.34304496,0.2165016,1.4041619,0.226353776,0.226475216,1.478982036,0.238414935,1.414608507,0.228160134
1953,15592.6203,106.7634132,16668.98107,174.5365288,302.1,0,1956.0975,0,1.318908079,0.212617517,1.40995249,0.227294534,0.227568799,1.591516865,0.256564024,1.488748357,0.24028659
1954,17234.86827,106.7634132,18839.14701,230.682614,302.1,0,1956.0975,0,1.457818287,0.23497237,1.593516851,0.256844378,0.257395273,1.78479925,0.287675435,1.632811717,0.263742437
1955,21462.78324,106.7634132,23988.47407,338.4514685,302.1,0,1956.0975,0,1.81543818,0.292537079,2.029074758,0.326962167,0.328057844,1.676418876,0.270135709,1.499912619,0.242503682
1956,26462.80712,106.7634132,30242.36923,494.4364731,302.1,0,1956.0975,0,2.238367218,0.360628437,2.558063004,0.412135353,0.414123323,1.735399804,0.279594213,1.51851695,0.245831821
1957,31714.21528,106.7634132,37059.29785,696.2760865,302.1,0,1956.0975,0,2.682559696,0.432152136,3.134675662,0.504986631,0.508299848,1.458518054,0.234962783,1.248155207,0.20239322
1958,40173.44231,106.7634132,48000.47995,1021.987989,301.8853086,9.489544359,1954.707373,61.44479972,3.395671931,0.557304817,4.05725457,0.665885151,0.671378388,1.271636672,0.208703684,1.064281493,0.176113079
1959,45972.26645,106.7634132,56165.00027,1341.13491,302.6891355,8.431697686,1959.912152,54.59524252,3.896165964,0.636903815,4.760003787,0.778114845,0.786294783,1.234744629,0.201842933,1.010665162,0.166949603
1960,56929.80687,106.7634132,71116.90981,1882.633733,303.4205029,7.763789785,1964.647756,50.27053886,4.836479311,0.788792985,6.041746528,0.985362899,0.998194509,1.086526429,0.177204195,0.869775415,0.143701004
1961,65268.19475,106.7634132,83367.7507,2425.374431,304.0431812,7.449971189,1968.679598,48.23856345,5.556247318,0.905241464,7.097053059,1.15627443,1.174506705,1.039036805,0.169283177,0.813456714,0.134620716
1962,83092.21463,106.7634132,108522.5861,3441.585579,302.4,0,1958.04,0,7.035368032,1.133164771,9.188542348,1.479969838,1.508338007,0.903210634,0.145477318,0.691559007,0.11352233
1963,89398.17502,106.7634132,119385.5515,4100.702173,304.8177861,7.343242104,1973.695165,47.54749263,7.62980885,1.242574085,10.18912229,1.659378308,1.695840295,0.906957726,0.147705164,0.679147221,0.113034783
1964,94168.42057,107.4810946,128585.4177,4755.838465,304.8986614,7.323694194,1974.218832,47.4209199,8.03906433,1.309137775,10.97720911,1.787605936,1.833088916,0.909414979,0.148095531,0.666002209,0.111215998
1965,92049.8422,107.5266696,128520.616,5092.760941,306,0,1981.35,0,7.886588385,1.270261166,11.01130837,1.773547283,1.826387744,1.012207377,0.163032183,0.72496952,0.120246877
1966,93422.44347,107.5207633,133371.8849,5636.970947,304.2771565,7.229702972,1970.194588,46.81232674,7.959124005,1.295816835,11.36261621,1.849935919,1.911210076,1.057078004,0.172101788,0.740446985,0.124544358
1967,92586.96154,107.5387628,135153.1635,6069.052711,303.5287834,7.20894826,1965.348873,46.67793998,7.868544642,1.281059047,11.48605249,1.8700169,1.939797786,1.115817446,0.181663586,0.76439311,0.129092921
1968,91654.89493,107.5378863,136802.919,6504.300458,302.4724542,7.229668068,1958.509141,46.81210074,7.762224405,1.263921984,11.58579645,1.886513721,1.965243456,1.23645394,0.201331633,0.828396476,0.140516948
1969,89382.1648,107.5993069,136412.4113,6845.937243,301.0969975,7.253172403,1949.603059,46.96429131,7.535325094,1.227185591,11.50018987,1.872894285,1.959754147,1.30704609,0.212862499,0.856422139,0.145943402
1970,91204.76181,108.0262576,142325.87,7518.366395,298.2,0,1930.845,0,7.614999034,1.226518265,11.88327606,1.913993037,2.014254584,1.204071017,0.193935034,0.771588541,0.130786809
1971,104645.3487,108.8113653,166974.2801,9260.739355,297.3509749,7.004001997,1925.347562,45.35091293,8.712323564,1.418177674,13.90156345,2.262873592,2.390573904,1.220556091,0.198680109,0.764941269,0.13154266
1972,141373.7929,108.9908996,230654.4707,13400.56916,294.9998168,6.67724488,1910.123814,43.2351606,11.67710959,1.899238511,19.05146262,3.098649647,3.290370197,1.033920888,0.168163393,0.633715519,0.109448744
1973,160682.1993,108.7309807,268055.0855,16280.93302,292.368347,6.274860738,1893.085047,40.62972328,13.15354515,2.137277917,21.94315665,3.565474067,3.80639641,1.012732662,0.164555725,0.607069667,0.10530608
1974,180726.4857,108.5859636,308277.1987,19537.66282,289.4871448,5.849208564,1874.429263,37.87362545,14.64858875,2.377836809,24.98707307,4.056034553,4.354192528,1.05926191,0.171945025,0.620988783,0.108212143
1975,210830.4087,108.3922624,367719.0823,24275.59,292.44182,0,1893.560785,0,17.26304604,2.780430639,30.10927829,4.849477878,5.241011771,0.950579334,0.153102755,0.545011231,0.094868108
1976,242925.869,108.207108,433231.4723,29744.24395,285.273762,0,1847.147609,0,19.4035098,3.125175273,34.6040179,5.573405131,6.058632027,0.928342063,0.149520973,0.520549214,0.091140172
1977,278618.0054,108.0287769,508064.3581,36223.41262,282.722008,0,1830.625002,0,22.05532671,3.552279898,40.21823856,6.477638814,7.083907722,0.898729274,0.144751333,0.492855194,0.086809886
1978,300302.694,0,559927.8836,41399.06895,278.456626,0,1803.006653,0,23.41323827,3.770977222,43.65503612,7.031156686,7.736613971,0.802672629,0.129279861,0.430492497,0.076292556
1979,367894.7983,85056.4129,701390.4221,170823.3357,268.0900422,0,1735.883023,0,27.61525326,7.781096456,52.64840446,14.83463901,15.37272842,0.573607683,0.161624327,0.300869924,0.087850556
1980,435486.9026,85056.4129,848935.3114,178927.572,265.0551978,0,1716.232406,0,32.3188667,8.181730292,63.00218674,15.94941136,16.7120504,0.541994564,0.137209432,0.278032414,0.073751277
1981,837851.0952,83193.81673,1670050.711,214912.3389,264.0344461,0,1709.623038,0,61.94013257,11.71966261,123.4624661,23.36027366,25.45274035,0.296014649,0.056008789,0.148508184,0.030616108
1982,1212141.679,110126.2042,2470469.624,306519.8337,262.7354102,0,1701.211781,0,89.16957431,16.48915915,181.7367792,33.60660515,36.94897966,0.236749952,0.043779593,0.116161916,0.023616927
1983,1444299.333,108777.5046,3009862.535,346665.4629,271.6975945,0,1759.241924,0,109.8721705,19.53539807,228.9692463,40.71099487,45.33736613,0.198698509,0.035328823,0.095346589,0.018879231
1984,2024568.428,146152.4794,4314050.525,496992.03,242.4964998,0,1570.164836,0,137.4619924,24.26202419,292.9108111,51.69872095,58.00273456,0.179314836,0.031649046,0.084151809,0.016663895
1985,2465992.661,162854.7059,5372888.939,610310.6836,252.4829022,0,1636.089206,0,174.3285241,30.34628493,380.1191682,66.16934689,74.91699968,0.147748869,0.025719424,0.067759914,0.013354679
1986,2932560.27,185113.4525,6533205.921,745507.0162,250.6918784,0,1810.496745,0,205.8410132,35.60839169,511.4804313,88.48088755,100.9601759,0.149217789,0.025813153,0.060051449,0.011853444
1987,3536668.662,208968.6473,8056327.107,919862.3364,253.0061021,0,2014.940597,0,250.53596,42.98139818,701.9469086,120.4244675,138.5837753,0.140164307,0.02404628,0.050026859,0.009876689
1988,4342656.796,490374.7391,10114898.8,1527972.689,261.1650647,0,2273.703053,0,317.5523202,62.4633692,994.4895276,195.6186826,219.6009706,0.123940951,0.024379508,0.039575818,0.008739044
1989,5157623.239,684266.467,12283410.46,2062992.836,250.9841646,0,2313.070061,0,362.4437668,75.63051971,1228.606133,256.3711365,285.8930526,0.121084237,0.02526644,0.035720338,0.008312018
1990,5924704.981,849783.5965,14427776.19,2569952.5,248.4951456,0,2530.923058,0,412.2202657,88.90321751,1579.004132,340.542568,379.1896296,0.119491642,0.025770668,0.0311949,0.007491293
1991,6608312.031,997061.5093,16454569.53,3055673.946,254.3190083,0,2558.194904,0,470.5589766,103.8493226,1820.225029,401.711891,447.4450108,0.116923104,0.025804173,0.030226601,0.007430258
1992,7042693.926,1128750.748,17930735.94,3494752.474,252.5463576,0,2405.504056,0,497.9945887,113.1535207,1865.130121,423.7918334,471.579368,0.125619252,0.028543002,0.033540667,0.00848042
1993,7484717.628,1246312.443,19484893.56,3927041.378,247.7254408,0,2422.011635,0,519.1474564,120.2674273,2040.700121,472.7553809,526.4864615,0.135337714,0.031352785,0.034429473,0.008882565
1994,7770155.108,1350058.789,20683099.55,4323111.877,264.9915254,0,2570.94778,0,576.5093742,136.5849116,2299.396177,544.7662043,606.7480547,0.147947479,0.035051283,0.037093698,0.009788017
1995,8202279.323,1441733.812,22324606.13,4736586.459,244.8333333,0,2456.168,0,562.2763283,134.0493221,2371.083244,565.2774013,631.6012044,0.176666292,0.042118075,0.041894469,0.011159708
1996,8863879.043,1522726.275,24668139.08,5190052.977,244.9787234,0,2661.938809,0,607.9906328,143.1720631,2839.483723,668.6529704,752.366435,0.150123571,0.035351698,0.032144479,0.008517192
1997,8768216.837,1591004.332,24950954.56,5485083.892,244.734375,0,2723.893594,0,600.8290952,145.7743908,2938.882554,713.0377294,800.9096831,0.152884437,0.037093137,0.0312559,0.008517915
1998,9223159.432,1644363.885,26836070.03,5870364.27,265.4817276,0,3116.42363,0,685.5814386,164.7207372,3616.432241,868.8995227,982.3925284,0.148300594,0.035631337,0.028113933,0.007637062
1999,9272956.588,1680628.174,27588033.45,6143483.409,219.9890909,0,2716.3153,0,571.168268,138.48767,3240.453927,785.6930069,890.5659931,0.166548735,0.040382051,0.029356181,0.008067887
2000,8328031.325,1706672.44,25334257.71,6175975.214,176.3389831,0,2284.691949,0,411.1832188,107.1742852,2502.884234,652.3729967,731.293699,0.223508048,0.058257035,0.036718741,0.010728496
2001,8038020.763,1725390.917,25002202.85,6335589.83,194.7687296,0,2642.037818,0,438.3419702,117.6334601,2856.421092,766.5492227,857.6548325,0.215092582,0.05772225,0.033007775,0.009910751
2002,7566485.377,1739263.354,24065044.24,6443488.363,218.5687204,0,3097.9384,0,463.0489533,129.9662135,3223.772377,904.8319535,1007.30672,0.197810131,0.055520337,0.028412606,0.008877863
2003,7077745.684,1745938.051,23017107.05,6527990.603,197.7981323,6.334053428,2923.950891,93.6331448,391.9781331,116.1587725,2910.219451,862.414228,953.7516201,0.234348372,0.06944678,0.031564437,0.010344454
2004,6956253.848,1746119.304,23131006.07,6677636.466,191.5788124,6.639071543,2948.637396,102.1836099,373.1363841,112.0341675,2949.312687,885.5308829,980.3188871,0.244958945,0.073548902,0.030991321,0.010301172
2005,7041248.268,1746298.988,23940437.06,6880587.544,185.5142575,6.887802956,2856.919566,106.0721655,365.7393174,109.0052144,2957.569885,881.4762981,980.5612863,0.245011199,0.073023317,0.030298601,0.010045286
2006,7047393.052,1746464.947,24500459.41,7070398.288,179.578423,7.106273069,2873.254768,113.7003691,354.3458472,105.664111,3044.060581,907.7232252,1013.203841,0.261107311,0.077860859,0.030394366,0.010116648
2007,7293312.479,1746672.178,25925901.81,7333389.88,173.7452639,7.304052103,2779.924223,116.8648336,354.7990891,103.4793925,3116.533193,908.9565657,1022.857874,0.248750677,0.072549704,0.028318811,0.00929434
2008,7294578.302,1746844.424,26513835.53,7536779.21,167.9887355,7.471587701,2687.819768,119.5454032,343.1034236,100.1872102,3081.609675,899.8391007,1016.099183,0.259981012,0.075915221,0.028946033,0.009544376
2009,7235579.645,1747048.946,26891127.54,7727224.516,162.282793,7.584299776,2758.807481,128.9330962,328.7687285,96.65150687,3208.007203,943.0906998,1067.337987,0.291233526,0.085616899,0.029846715,0.009930318
2010,7099348.481,1747254.556,26978481.12,7896643.254,156.6013916,7.612096097,2709.204075,131.6892625,311.285443,92.80072124,3160.560753,942.2294682,1067.024378,0.31031531,0.092511504,0.030563133,0.010318298
2011,7041919.218,1747434.245,27362347.63,8094935.158,150.9184865,7.533983099,2625.981666,131.0913059,297.5624871,89.27377269,3107.062383,932.1712006,1058.024533,0.322950534,0.096890616,0.030928881,0.010531979
2012,7245461.225,1747656.407,28786686.01,8391894.181,153.4,0,2699.84,0,311.1974977,90.25893535,3360.737759,974.7398817,1119.306253,0.306040357,0.088763171,0.028338716,0.009438315
2013,6971158.572,1747968.991,28320043.27,8521777.102,138.36,0,2462.808,0,270.05997,80.48191486,3015.986515,898.8091421,1029.364484,0.353471518,0.105339805,0.03165084,0.010802519
2014,6735206.582,1748392.224,27977131.77,8666010.283,133.6283778,7.197721601,2378.585125,128.1194445,251.9963888,78.17135661,2877.576077,892.6478144,1016.51908,0.466282394,0.144644641,0.040833492,0.014424649
2015,6699603.882,1748932.176,28455400.97,8890061.109,127.7636279,7.667549341,2274.192576,136.4823783,239.6630383,74.907511,2798.316766,874.6235772,997.8238646,0.492161527,0.153826786,0.042151385,0.015030342
2016,6387332.376,1749660.334,27739486.47,9006104.591,121.8681334,8.69296768,2254.560468,160.8199021,217.9487464,70.98065045,2704.364535,880.7463079,998.9245234,0.541471431,0.176344186,0.043637985,0.016118779
2017,5740189.251,1750753.433,25489917.43,8987680.85,110.6,0,2046.1,0,177.7567241,61.31072231,2255.278664,777.8764182,874.2394427,0.544050272,0.189937919,0.042880995,0.016783079
2018,5489043.042,1751591.813,24923106.34,9125771.847,110.0438379,11.99301679,2035.811002,221.8708106,169.12471,63.2009895,2194.040069,819.9009085,909.6390812,0.500866275,0.189281993,0.038608622,0.016153782
